service_id,date,exception_type
229721,20240507,1
229727,20240507,1
229735,20240507,1
229745,20240507,1
229755,20240507,1
229765,20240507,1
229775,20240507,1
229785,20240507,1
229795,20240507,1
229805,20240507,1
229815,20240507,1
229825,20240507,1
229833,20240507,1
229839,20240507,1
229845,20240507,1
229855,20240507,1
229869,20240507,1
229879,20240507,1
229895,20240507,1
229905,20240507,1
229915,20240507,1
229925,20240507,1
229935,20240507,1
229951,20240507,1
229961,20240507,1
229971,20240507,1
229981,20240507,1
229991,20240507,1
230001,20240507,1
230011,20240507,1
230021,20240507,1
230031,20240507,1
230041,20240507,1
230051,20240507,1
230061,20240507,1
230071,20240507,1
230081,20240507,1
230087,20240507,1
230097,20240507,1
230103,20240507,1
230113,20240507,1
230123,20240507,1
230133,20240507,1
230143,20240507,1
230153,20240507,1
230163,20240507,1
230173,20240507,1
230183,20240507,1
230189,20240507,1
230199,20240507,1
230209,20240507,1
230215,20240507,1
230221,20240507,1
230227,20240507,1
230237,20240507,1
230247,20240507,1
230257,20240507,1
230267,20240507,1
230273,20240507,1
230279,20240507,1
230289,20240507,1
230295,20240507,1
230305,20240507,1
230315,20240507,1
230325,20240507,1
230335,20240507,1
230341,20240507,1
230347,20240507,1
230353,20240507,1
230363,20240507,1
230369,20240507,1
230379,20240507,1
230389,20240507,1
230399,20240507,1
230405,20240507,1
230415,20240507,1
230425,20240507,1
230435,20240507,1
230445,20240507,1
230455,20240507,1
230461,20240507,1
230467,20240507,1
230473,20240507,1
230483,20240507,1
230493,20240507,1
230499,20240507,1
230505,20240507,1
230515,20240507,1
230520,20240507,1
230530,20240507,1
230540,20240507,1
230550,20240507,1
230560,20240507,1
230570,20240507,1
230580,20240507,1
230590,20240507,1
230600,20240507,1
230610,20240507,1
230620,20240507,1
230630,20240507,1
230640,20240507,1
230650,20240507,1
230660,20240507,1
230670,20240507,1
230680,20240507,1
230685,20240507,1
230695,20240507,1
230705,20240507,1
230715,20240507,1
230725,20240507,1
230735,20240507,1
230740,20240507,1
230745,20240507,1
230750,20240507,1
230760,20240507,1
230770,20240507,1
230780,20240507,1
230790,20240507,1
230800,20240507,1
230810,20240507,1
230820,20240507,1
230830,20240507,1
229285,20240508,1
229295,20240508,1
229305,20240508,1
229315,20240508,1
229325,20240508,1
229333,20240508,1
229343,20240508,1
229353,20240508,1
229363,20240508,1
229373,20240508,1
229383,20240508,1
229393,20240508,1
229403,20240508,1
229413,20240508,1
229423,20240508,1
229433,20240508,1
229443,20240508,1
229453,20240508,1
229463,20240508,1
229473,20240508,1
229483,20240508,1
229493,20240508,1
229503,20240508,1
229513,20240508,1
229523,20240508,1
229533,20240508,1
229539,20240508,1
229549,20240508,1
229559,20240508,1
229569,20240508,1
229579,20240508,1
229585,20240508,1
229591,20240508,1
229601,20240508,1
229611,20240508,1
229621,20240508,1
229631,20240508,1
229641,20240508,1
229651,20240508,1
229661,20240508,1
229667,20240508,1
229673,20240508,1
229679,20240508,1
229699,20240508,1
229709,20240508,1
229715,20240508,1
229721,20240508,1
229727,20240508,1
229735,20240508,1
229745,20240508,1
229755,20240508,1
229765,20240508,1
229775,20240508,1
229785,20240508,1
229795,20240508,1
229805,20240508,1
229815,20240508,1
229825,20240508,1
229833,20240508,1
229839,20240508,1
229845,20240508,1
229855,20240508,1
229869,20240508,1
229879,20240508,1
229895,20240508,1
229905,20240508,1
229915,20240508,1
229925,20240508,1
229935,20240508,1
229951,20240508,1
229961,20240508,1
229971,20240508,1
229981,20240508,1
229991,20240508,1
230001,20240508,1
230011,20240508,1
230021,20240508,1
230031,20240508,1
230041,20240508,1
230051,20240508,1
230061,20240508,1
230071,20240508,1
230081,20240508,1
230087,20240508,1
230097,20240508,1
230103,20240508,1
230113,20240508,1
230123,20240508,1
230133,20240508,1
230143,20240508,1
230153,20240508,1
230163,20240508,1
230173,20240508,1
230183,20240508,1
230189,20240508,1
230199,20240508,1
230209,20240508,1
230215,20240508,1
230221,20240508,1
230227,20240508,1
230237,20240508,1
230247,20240508,1
230257,20240508,1
230267,20240508,1
230273,20240508,1
230279,20240508,1
230289,20240508,1
230295,20240508,1
230305,20240508,1
230315,20240508,1
230325,20240508,1
230335,20240508,1
230341,20240508,1
230347,20240508,1
230353,20240508,1
230363,20240508,1
230369,20240508,1
230379,20240508,1
230389,20240508,1
230399,20240508,1
230405,20240508,1
230415,20240508,1
230425,20240508,1
230435,20240508,1
230445,20240508,1
230455,20240508,1
230461,20240508,1
230467,20240508,1
230473,20240508,1
230483,20240508,1
230493,20240508,1
230499,20240508,1
230505,20240508,1
230515,20240508,1
230520,20240508,1
230530,20240508,1
230540,20240508,1
230550,20240508,1
230560,20240508,1
230570,20240508,1
230580,20240508,1
230590,20240508,1
230600,20240508,1
230610,20240508,1
230620,20240508,1
230630,20240508,1
230640,20240508,1
230650,20240508,1
230660,20240508,1
