route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
67,2,352,CIRCUNVALACIÓN OROTAVA -> REALEJOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-352,75AD1C,000000
68,2,353,CIRCUNVALACIÓN CIRCUNVALACIÓN REALEJOS -> OROTAVA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-353,75AD1C,000000
69,2,354,REALEJOS -> ICOD DE LOS VINOS ->POR LA GUANCHA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-354,75AD1C,000000
70,2,355,BUENAVISTA -> MASCA -> VALLE SANTIAGO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-355,75AD1C,000000
128,2,357,ESTACIÓN DE ICOD->AVDA.PRÍNCIPES DE ESPAÑA->HOSPITAL DEL NORTE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-357,75AD1C,000000
71,2,358,ICOD DE LOS VINOS -> SANTA BÁRBARA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-358,75AD1C,000000
72,2,360,ICOD DE LOS VINOS -> PUERTO DE ERJOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-360,75AD1C,000000
73,2,362,ICOD DE LOS VINOS -> PLAYA SAN MARCOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-362,75AD1C,000000
74,2,363,PUERTO DE LA CRUZ -> BUENAVISTA ->POR ICOD DE LOS VINOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-363,75AD1C,000000
75,2,364,ICOD ->HOSPITAL DEL NORTE->LA GUANCHA -> S. JUAN DE LA RAMBLA ->POR SAN JOSÉ,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-364,75AD1C,000000
160,2,365,BUENAVISTA -> MASCA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-365,75AD1C,000000
76,2,366,BUENAVISTA <->EL PALMAR<-> LAS PORTELAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-366,75AD1C,000000
226,2,369,BUENAVISTA - PUNTA DE TENO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-369,75AD1C,000000
